ID	AEC	ATC	AMPI	AECU	ATCU	AMLPI
1	1.053	1.003	1.049	1.068	1.031	1.036
2	1.096	1.087	1.009	1.044	0.986	1.058
3	1.107	0.999	1.109	1.147	1.044	1.099
4	1.006	0.99	1.016	0.985	0.942	1.046
5	0.972	1.023	0.95	0.972	1	0.972
6	0.735	1	0.735	1.192	2.514	0.474
7	1.032	0.964	1.07	1.055	1	1.055
8	1.037	1	1.037	1.059	1.006	1.053
9	1.007	0.977	1.031	1.038	0.981	1.058
10	1.066	1	1.066	1.048	1	1.048
11	1.075	1.048	1.025	1.071	1	1.071
12	1.013	1.013	1	1.039	0.924	1.125
13	1.002	1	1.002	1.015	1	1.015
14	1.095	0.985	1.112	1.126	1.081	1.041
15	1.037	1.136	0.913	0.994	0.892	1.114
16	1.019	0.9	1.131	1.067	1.13	0.944
17	1.084	0.986	1.099	1.143	0.926	1.234
18	0.975	0.808	1.207	1.141	1.127	1.012
19	1.001	0.952	1.051	0.986	0.911	1.082
20	1.155	0.784	1.473	1.158	0.989	1.171
21	1.091	0.754	1.447	1.103	1.11	0.994
22	1.281	1.251	1.025	0.916	0.779	1.175
23	1.011	0.864	1.17	1.139	0.86	1.324
24	1	1.015	0.985	0.908	1	0.908
25	0.944	1.019	0.926	1.358	1.26	1.078
26	0.883	0.803	1.1	1.089	1.059	1.028
27	0.903	0.722	1.251	0.886	0.933	0.949
28	1.163	0.992	1.172	1.048	0.998	1.05
29	1.001	1.039	0.963	1.094	1.081	1.012
30	1.005	1.028	0.978	1.02	1.351	0.755
31	1.075	0.991	1.085	1.002	0.991	1.012
32	0.909	0.752	1.209	0.316	1	0.316
33	0.979	0.85	1.152	1.022	0.979	1.043
34	1.013	1.025	0.989	1.21	1.41	0.858
35	1.062	1.018	1.043	0.983	1.022	0.962
36	0.976	0.924	1.056	1.074	1.033	1.039
37	0.866	0.86	1.007	1.073	0.966	1.111
38	0.875	0.825	1.06	1.075	0.952	1.13
39	1.035	1.099	0.941	1.04	1.061	0.98
40	1.033	1.003	1.03	1.005	0.935	1.075
41	1.041	0.802	1.298	1.025	1.04	0.986
42	0.895	0.758	1.18	1.177	0.986	1.194
43	0.992	0.876	1.133	1.053	1	1.053
44	1.006	1.029	0.978	1.104	1.082	1.02
45	0.979	0.99	0.988	1.031	0.989	1.042
